1, 3.2014, 0.0828, 3.1759, 0.0735
2, 2.9832, 0.1148, 2.8227, 0.1789
3, 2.6444, 0.1665, 2.5415, 0.1961
4, 2.4752, 0.1945, 2.4394, 0.1740
5, 2.4142, 0.2056, 2.3192, 0.2328
6, 2.3867, 0.2109, 2.3022, 0.2443
7, 2.3616, 0.2150, 2.3595, 0.2083
8, 2.3352, 0.2158, 2.3243, 0.2377
9, 2.3048, 0.2219, 2.2783, 0.2647
10, 2.2933, 0.2260, 2.3454, 0.2157
11, 2.2865, 0.2265, 2.2157, 0.2598
12, 2.2862, 0.2314, 2.3281, 0.2353
13, 2.2725, 0.2270, 2.3129, 0.2647
14, 2.2583, 0.2312, 2.1726, 0.2451
15, 2.2528, 0.2336, 2.2193, 0.2255
16, 2.2441, 0.2357, 2.2855, 0.2784
17, 2.2455, 0.2357, 2.2709, 0.2157
18, 2.2384, 0.2389, 2.2771, 0.2525
19, 2.2478, 0.2316, 2.2772, 0.2841
20, 2.1944, 0.2509, 2.1379, 0.2770
21, 2.1789, 0.2485, 2.1743, 0.2696
22, 2.1641, 0.2569, 2.1320, 0.2784
23, 2.1617, 0.2552, 2.1103, 0.2892
24, 2.1622, 0.2522, 2.1426, 0.2784
25, 2.1605, 0.2525, 2.1278, 0.3088
26, 2.1508, 0.2613, 2.1890, 0.2745
27, 2.1548, 0.2515, 2.2157, 0.3039
28, 2.1466, 0.2583, 2.0808, 0.3088
29, 2.1468, 0.2528, 2.1133, 0.2721
30, 2.1490, 0.2551, 2.1348, 0.3068
31, 2.1377, 0.2623, 2.1275, 0.2770
32, 2.1390, 0.2611, 2.1166, 0.2898
33, 2.1339, 0.2575, 2.1355, 0.2770
34, 2.1158, 0.2681, 2.1291, 0.3039
35, 2.1110, 0.2716, 2.0835, 0.3295
36, 2.1120, 0.2657, 2.0843, 0.2770
37, 2.1095, 0.2676, 2.1024, 0.3125
38, 2.0928, 0.2737, 2.0599, 0.2966
39, 2.0870, 0.2751, 2.0788, 0.3239
40, 2.0848, 0.2760, 2.0724, 0.3064
41, 2.0844, 0.2786, 2.0601, 0.3352
42, 2.0834, 0.2781, 2.0712, 0.2819
43, 2.0826, 0.2767, 2.1486, 0.2696
44, 2.0721, 0.2819, 2.1124, 0.3015
45, 2.0733, 0.2779, 2.1495, 0.2770
46, 2.0667, 0.2796, 2.0951, 0.3186
47, 2.0659, 0.2813, 2.0587, 0.3295
48, 2.0736, 0.2744, 2.0509, 0.3015
49, 2.0653, 0.2808, 2.0607, 0.3239
50, 2.0634, 0.2820, 2.1439, 0.2672
51, 2.0750, 0.2808, 2.0932, 0.3309
52, 2.0603, 0.2814, 2.0603, 0.3409
53, 2.0596, 0.2845, 2.0416, 0.3064
54, 2.0707, 0.2771, 2.1244, 0.2770
55, 2.0601, 0.2779, 2.1629, 0.2917
56, 2.0604, 0.2814, 2.0203, 0.2721
57, 2.0669, 0.2818, 2.0631, 0.3211
58, 2.0599, 0.2854, 2.1330, 0.2770
59, 2.0619, 0.2853, 2.1582, 0.3137
60, 2.0615, 0.2777, 2.0252, 0.3064
61, 2.0643, 0.2838, 2.0479, 0.3088
62, 2.0579, 0.2824, 2.0509, 0.3352
63, 2.0612, 0.2821, 2.0474, 0.3186
64, 2.0561, 0.2803, 2.1210, 0.2892
65, 2.0545, 0.2849, 2.1584, 0.3113
66, 2.0564, 0.2807, 2.0184, 0.2843
67, 2.0539, 0.2860, 2.0383, 0.3113
68, 2.0487, 0.2867, 2.0507, 0.3409
69, 2.0563, 0.2846, 2.0437, 0.3211
70, 2.0462, 0.2839, 2.1135, 0.2819
71, 2.0447, 0.2880, 2.1509, 0.2990
72, 2.0561, 0.2829, 2.0175, 0.2941
73, 2.0459, 0.2870, 2.0368, 0.3039
74, 2.0461, 0.2871, 2.1131, 0.2843
75, 2.0524, 0.2857, 2.1018, 0.3064
76, 2.0488, 0.2870, 2.1327, 0.2647
77, 2.0502, 0.2852, 2.0768, 0.3284
78, 2.0513, 0.2831, 2.1520, 0.2892
79, 2.0525, 0.2854, 2.0161, 0.2892
80, 2.0538, 0.2822, 2.0395, 0.3162
